# ppt,,,
 ,eco311,eco311,eco311
TIMESTEP,MEAN(mm/month),VARIANCE(mm/month^2),STD_DEV(mm/month)
1998-07T00:00:00Z,13.03225806,0,0
1998-08T00:00:00Z,12.77419355,0,0
1998-09T00:00:00Z,8.033333333,0,0
1998-10T00:00:00Z,0.592592593,0,0
1998-11T00:00:00Z,-4.043478261,0,0
1998-12T00:00:00Z,-7.12,0,0
1999-01T00:00:00Z,-12.3,0,0
1999-02T00:00:00Z,-10.53571429,0,0
1999-03T00:00:00Z,-7.416666667,0,0
1999-04T00:00:00Z,-1.482758621,0,0
1999-05T00:00:00Z,5.172413793,0,0
1999-06T00:00:00Z,13.13333333,0,0
1999-07T00:00:00Z,15.6,0,0
1999-08T00:00:00Z,14.10714286,0,0
1999-09T00:00:00Z,11.3,0,0
1999-10T00:00:00Z,1.137931034,0,0
1999-11T00:00:00Z,-0.034482759,0,0
